Trajectory,Reward,DateTime,ExperimentName
70,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
71,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
72,0.41563,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
73,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
74,181.50685,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
75,146.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
76,205.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
77,196.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
78,-235.80934,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
79,242.52343,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
80,-254.57573,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
81,146.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
82,256.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
83,295.75678,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
84,77.19729,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
85,-2.96058,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
86,41.61148,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
87,198.14653,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
88,205.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
89,209.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
90,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
91,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
92,36.65873,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
93,-20.07972,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
94,183.97148,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
95,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
96,21.72585,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
97,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
98,143.08205,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
99,348.59168,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
100,327.34784,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
101,176.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
102,13.39206,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
103,165.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
104,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
105,235.96418,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
106,204.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
107,-51.31368,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
108,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
109,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
110,205.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
111,101.72585,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
112,-60.65655,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
113,-200.54429,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
114,-3.10367,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
115,219.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
116,227.03969,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
117,130.72585,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
118,285.06015,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
119,141.62658,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
120,207.76834,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
121,199.86890,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
122,14.58918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
123,-235.88423,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
124,68.35037,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
125,119.32133,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
126,99.52072,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
127,218.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
128,204.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
129,-1.59343,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
130,205.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
131,378.74970,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
132,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
133,33.35333,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
134,37.36626,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
135,142.50915,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
136,108.22325,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
137,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
138,257.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
139,-111.77356,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
140,78.27444,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
141,136.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
142,248.36219,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
143,44.86932,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
144,338.23667,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
145,44.13083,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
146,228.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
147,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
148,39.31663,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
149,108.99772,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
150,70.31384,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
151,166.03715,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
152,214.18250,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
153,-24.16486,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
154,248.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
155,218.15431,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
156,205.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
157,88.36293,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
