,0
799,2
800,1
801,6
802,5
803,1
804,1
805,1
806,2
807,1
808,10
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,3
818,2
819,1
820,2
821,2
822,1
823,6
824,4
825,5
826,1
827,1
828,2
829,3
830,3
831,1
832,1
833,1
834,1
835,3
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,3
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,2
875,2
876,2
877,2
878,1
879,2
880,3
881,1
882,2
883,2
884,1
885,1
886,3
887,2
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,4
921,27
922,1
923,1
924,3
925,1
926,24
927,1
928,1
929,1
930,1
931,2
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,27
942,1
943,3
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,11
952,1
953,10
954,1
955,18
956,20
957,1
958,29
959,1
960,14
961,17
962,6
963,1
964,1
965,2
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,4
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
